dissolvedO2,pH,outletN2,outletCO2,outletO2,outletAR,AgitatorSpeed,Temperature
90.03,7.01,76.7032,1.9025,20.4856,0.9087,199.84,36.98
89.98,7.01,76.69856363636363,1.9085,20.484145454545455,0.908760606060606,199.14,36.98
89.97,7.01,76.69392727272727,1.9144999999999999,20.48269090909091,0.9088212121212121,199.96,36.98
89.99,7.01,76.68929090909091,1.9204999999999999,20.481236363636363,0.9088818181818182,200.14,36.97
89.99,7.01,76.6879,1.9223,20.4808,0.9089,199.94,36.97
90.14,7.01,76.68241226415094,1.9290556603773583,20.479730188679245,0.9087216981132076,199.66,36.96
90.14,7.01,76.67457264150943,1.9387066037735847,20.47820188679245,0.9084669811320755,200.1,36.98
90.15,7.01,76.66673301886793,1.9483575471698111,20.47667358490566,0.9082122641509434,199.96,36.98
90.08,7.01,76.6602,1.9564,20.4754,0.9079999999999999,200.59,36.96
90.17,7.01,76.65740707070708,1.9598393939393939,20.474748484848487,0.9080050505050504,199.73,36.98
90.08,7.01,76.6406494949495,1.9804757575757577,20.470839393939393,0.9080353535353535,200.61,36.98
90.23,7.01,76.62389191919192,2.0011121212121212,20.466930303030303,0.9080656565656565,200.98,36.98
90.18,7.01,76.60713434343434,2.021748484848485,20.463021212121212,0.9080959595959596,200.27,36.98
90.18,7.01,76.6049,2.0245,20.4625,0.9081,200.01,36.98
90.14,7.01,76.58878490566038,2.045447169811321,20.458011320754714,0.9077566037735849,200.63,37.0
90.05,7.01,76.57019056603774,2.0696169811320755,20.452832075471697,0.9073603773584905,200.61,37.04
90.01,7.01,76.55159622641509,2.09378679245283,20.447652830188677,0.9069641509433962,199.18,37.04
90.01,7.01,76.5392,2.1099,20.4442,0.9067,199.0,37.04
89.99,7.01,76.53232,2.11838,20.442639999999997,0.9066599999999999,200.06,37.04
90.12,7.01,76.51168,2.1438200000000003,20.43796,0.90654,199.88,37.04
90.22,7.01,76.49104,2.16926,20.43328,0.90642,199.31,37.04
90.07,7.01,76.4704,2.1947,20.4286,0.9063,199.85,37.04
90.19,7.01,76.45695660377358,2.211879245283019,20.424977358490565,0.9061867924528302,200.01,37.02
90.07,7.01,76.44351320754717,2.2290584905660378,20.42135471698113,0.9060735849056604,200.71,37.04
90.07,7.01,76.43006981132075,2.2462377358490566,20.417732075471697,0.9059603773584906,199.34,37.04
90.13,7.01,76.4229,2.2554,20.4158,0.9059,200.1,37.04
90.23,7.0,76.41803535353534,2.2617070707070703,20.414428282828283,0.9058292929292929,200.61,36.98
90.23,7.0,76.40761111111111,2.2752222222222223,20.41148888888889,0.9056777777777778,200.15,36.98
90.13,7.0,76.39718686868686,2.2887373737373737,20.408549494949494,0.9055262626262626,199.23,37.02
90.13,7.0,76.3885,2.3,20.4061,0.9054,199.24,37.02
90.16,7.0,76.38718867924527,2.3018537735849054,20.405585849056603,0.9053716981132075,199.21,37.0
90.19,7.0,76.37932075471697,2.3129764150943397,20.402500943396227,0.9052018867924528,200.16,37.04
90.06,7.0,76.37145283018867,2.3240990566037736,20.399416037735847,0.9050320754716982,200.49,37.04
90.06,7.0,76.36358490566037,2.3352216981132075,20.39633113207547,0.9048622641509434,200.41,37.04
90.01,7.0,76.3607,2.3393,20.3952,0.9048,199.8,36.98
90.18,7.0,76.35591199999999,2.345057,20.394288,0.9047430000000001,200.26,37.04
90.1,7.0,76.34835199999999,2.354147,20.392848,0.904653,200.19,37.02
90.17,7.0,76.340792,2.3632370000000003,20.391408,0.904563,200.19,36.98
90.23,7.0,76.3355,2.3696,20.3904,0.9045,199.63,36.98
90.08,7.0,76.33362358490565,2.372045283018868,20.38983113207547,0.9045,199.96,36.98
90.04,7.0,76.32736886792452,2.3801962264150944,20.387934905660376,0.9045,199.43,36.98
90.0,7.0,76.3211141509434,2.388347169811321,20.386038679245285,0.9045,199.27,37.02
90.03,7.0,76.31485943396227,2.396498113207547,20.38414245283019,0.9045,200.35,37.04
89.86,7.0,76.3134,2.3984,20.3837,0.9045,199.55,37.0
89.98,7.0,76.310916,2.400953,20.3837,0.904431,200.32,37.02
89.98,7.0,76.307676,2.404283,20.3837,0.904341,200.31,36.98
89.98,7.0,76.304436,2.407613,20.3837,0.904251,200.61,37.02
89.93,7.0,76.3026,2.4095,20.3837,0.9042,200.25,36.98
89.78,7.0,76.30162803738318,2.4107392523364486,20.383408411214955,0.9042242990654206,198.88,37.04
89.91,7.0,76.29938504672897,2.413599065420561,20.38273551401869,0.9042803738317757,199.34,36.98
89.96,7.0,76.29714205607476,2.416458878504673,20.38206261682243,0.9043364485981308,199.38,36.98
89.96,7.0,76.29489906542057,2.4193186915887854,20.381389719626167,0.904392523364486,199.74,36.98
89.96,7.0,76.2946,2.4197,20.3813,0.9044,200.98,36.98
90.03,7.0,76.29954000000001,2.414812,20.3813,0.904348,199.8,36.98
89.93,7.0,76.30524,2.4091720000000003,20.3813,0.904288,199.89,36.98
89.91,7.0,76.31093999999999,2.4035320000000002,20.3813,0.904228,200.36,36.96
89.93,7.0,76.3136,2.4009,20.3813,0.9042,199.55,36.98
90.01,7.0,76.31494095238095,2.3993,20.381589523809524,0.9041847619047619,200.64,36.98
90.04,7.0,76.31745523809523,2.3963,20.38213238095238,0.9041561904761904,199.36,36.97
89.96,7.0,76.31996952380952,2.3933,20.38267523809524,0.9041276190476191,200.81,36.98
89.78,7.0,76.3224,2.3904,20.3832,0.9041,199.57,37.02
89.98,7.0,76.32125151515152,2.391848484848485,20.38291212121212,0.9040858585858585,200.86,36.98
89.98,7.0,76.28679696969697,2.4353030303030305,20.374275757575756,0.9036616161616161,200.0,36.98
89.98,7.0,76.25234242424241,2.4787575757575757,20.365639393939393,0.9032373737373737,199.95,36.98
89.93,7.0,76.21788787878788,2.522212121212121,20.35700303030303,0.9028131313131312,199.73,36.96
90.06,7.0,76.2087,2.5338,20.3547,0.9027,200.23,36.98
89.96,7.0,76.17704905660376,2.571967924528302,20.348411320754717,0.9024924528301886,199.9,36.98
89.98,7.0,76.13388867924529,2.6240150943396223,20.339835849056605,0.902209433962264,200.02,36.98
90.03,7.0,76.0907283018868,2.6760622641509433,20.33126037735849,0.9019264150943396,200.73,36.98
89.96,7.0,76.0562,2.7177,20.3244,0.9017,198.98,36.98
90.03,7.0,76.0493,2.7268139999999996,20.322306,0.901574,199.11,37.02
90.03,7.0,76.0148,2.7723839999999997,20.311836,0.900944,200.06,36.97
90.14,7.0,75.9803,2.817954,20.301366,0.900314,199.48,36.98
90.1,7.0,75.94579999999999,2.863524,20.290896,0.8996839999999999,199.84,37.02
89.94,7.0,75.9412,2.8696,20.2895,0.8996,198.86,36.98
89.9,7.0,75.8841238095238,2.9432171428571428,20.273677142857142,0.8989314285714285,199.94,37.04
90.01,7.0,75.81826666666666,3.02816,20.25542,0.89816,199.98,37.0
89.87,7.0,75.75240952380952,3.113102857142857,20.237162857142856,0.8973885714285714,199.8,37.04
90.04,7.0,75.7107,3.1669,20.2256,0.8969,199.55,36.98
89.97,7.0,75.66941111111112,3.2189,20.215333333333334,0.8964444444444445,200.13,37.04
89.9,7.0,75.55680505050505,3.3607181818181817,20.18733333333333,0.8952020202020202,199.85,37.0
89.87,7.0,75.444198989899,3.502536363636364,20.159333333333333,0.893959595959596,199.4,37.04
90.02,7.0,75.3391,3.6349,20.1332,0.8928,200.11,37.04
90.18,7.0,75.33505094339623,3.64,20.132198113207547,0.8927509433962264,199.68,37.02
90.05,7.0,75.27431509433963,3.7165,20.117169811320753,0.8920150943396227,200.7,37.04
90.03,7.0,75.21357924528301,3.7929999999999997,20.102141509433963,0.8912792452830188,200.18,37.0
90.0,7.0,75.15284339622642,3.8695,20.087113207547173,0.8905433962264151,199.68,37.04
90.18,7.0,75.1245,3.9052,20.0801,0.8902,199.75,37.04
89.9,7.0,75.11533636363636,3.9160767676767674,20.07838686868687,0.8902,199.39,37.04
89.9,7.0,75.09815454545455,3.9364707070707072,20.075174747474748,0.8902,198.84,37.04
89.81,7.0,75.08097272727274,3.9568646464646466,20.07196262626263,0.8902,199.54,37.04
89.86,7.0,75.0678,3.9725,20.0695,0.8902,199.34,37.04
89.86,7.0,75.07062666666667,3.9693,20.069853333333334,0.89022,199.73,37.04
89.91,7.0,75.08274095238096,3.9555857142857143,20.07136761904762,0.8903057142857143,200.1,36.98
